Timestamp,What kind of e-learning tool you are using while taking online classes? Name it.,Your age,Gender ,Field of education ,EA1,EA2,EA3,PEOU1,PEOU2,PEOU3,PEOU5,PU1,PU2,PU3,PU4,PU5,US1,US2,US3,US4,US5,US6,US7,QU1,QU2,QU3,QU4,QU5,SA,AU,ITU,STA1,STA2,STA3,PI ,SAC1,PI 1,,SAC1,,rowsd,,Do you think Tool used in E-learning puts highly effect on E-learning acceptability?,Any other suggestion to make E-learning experience better?
2021/01/10 11:14:00 PM GMT+5,Zoom,23-27,Female,Medical,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,4,4,5,5,5,5,1,1,5,,4,,0.257880715,The quality of video and sound ,Yes,No
2021/01/10 11:45:56 PM GMT+5,Blackboard ,23-27,Male,IT/CS,5,5,2,4,4,4,4,5,4,5,4,5,4,4,4,3,4,,4,4,4,4,4,4,4,4,4,4,4,4,1,1,4,,4,,0.593478516,By making it more reliable,Can't say,It's standard can be further improved 
2021/01/11 11:47:39 AM GMT+5,Zoom ,18-20,Male,IT/CS,1,5,1,4,3,3,3,2,2,2,1,3,4,4,4,4,4,4,3,3,2,2,3,2,2,2,2,4,4,4,1,0,4,,2,,1.093870067,online education is not a good way to study because our teachers can not give a time like a lecture during physical class it is only a time pass or bad impact on our studies.,No,"sory, iam not agree with any kind of online education."
2021/01/11 11:47:45 AM GMT+5,Zoom ,18-20,Male,IT/CS,1,5,1,4,3,3,3,2,2,2,1,3,4,4,4,4,4,4,3,3,2,2,3,2,2,2,2,4,4,4,1,0,4,,2,,1.093870067,online education is not a good way to study because our teachers can not give a time like a lecture during physical class it is only a time pass or bad impact on our studies.,No,"sory, iam not agree with any kind of online education."
2021/01/11 11:47:53 AM GMT+5,Zoom ,18-20,Male,IT/CS,1,5,1,4,3,3,3,2,2,2,1,3,4,4,4,4,4,4,3,3,2,2,3,2,2,2,2,4,4,4,1,0,4,,2,,1.093870067,online education is not a good way to study because our teachers can not give a time like a lecture during physical class it is only a time pass or bad impact on our studies.,No,"sory, iam not agree with any kind of online education."
2021/01/11 11:49:37 AM GMT+5,Google meet/zoom,18-20,Male,Business Administration,1,3,3,4,3,4,4,3,1,2,2,1,4,2,3,2,4,4,4,4,2,2,4,2,2,2,1,3,2,2,0,0,2,,2,,1.061337261,E-learning is best tool but i'll prefered to the f2f study ,nope,nope
2021/01/11 11:52:52 AM GMT+5,Zoom app,21-23,Male,Engineering,2,1,2,2,2,1,2,2,1,2,1,1,1,1,1,1,2,1,2,1,2,1,2,1,1,2,1,2,1,2,0,0,2,,1,,0.507416263,No,Yes,No
2021/01/11 12:01:14 PM GMT+5,Zome,21-23,Male,Engineering,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,4,4,1,1,4,,4,,0.379049022,It could be batter by corporation between Teacher and students,4,Instead teaching thousand pages we should be focused on skills not Ratta
2021/01/11 12:04:34 PM GMT+5,Teams 365,21-23,Female,Physics ,2,3,5,4,3,5,5,3,3,4,2,2,2,3,2,5,5,3,5,4,4,5,5,4,3,4,1,2,3,1,0,0,2,,3,,1.275768869,By arranging more discussion sessions btw students and teachers.,Tools used in E-learning was quite good but I prefer face to face learning over E-learning ,"There should be a complete check and balance on teachers , whether they are doing their work with full honesty or not.. BCZ some teachers just do reading from slides and that's it.. if just reading from slides was enough then we could've done that on our own.. That's why I'm not satisfied with online methodology of teachers.."
2021/01/11 12:04:51 PM GMT+5,Laptop,18-20,Male,IT/CS,5,5,5,4,4,4,2,4,4,4,5,5,5,2,4,1,5,4,5,4,4,4,5,4,4,4,5,5,5,3,1,1,4,,4,,1.008013866,Yah it is bettee,E learning is best,No
2021/01/11 12:07:03 PM GMT+5,Zoom ,18-20,Male,IT/CS,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,1,1,4,,4,,0.406838102,Yes,Eye set week ,no
2021/01/11 12:18:21 PM GMT+5,"zoom,lms and whatsapp groups.",18-20,Male,IT/CS,1,2,1,2,1,1,3,2,1,2,3,1,2,1,2,3,3,2,1,2,1,3,3,1,1,1,1,1,1,3,0,0,2,,1,,0.827681987,"I am nit agree with online education, physical education is a good way to study or gain knowledege but online is the wastage of time.It can be better that every instution can provide a laptop or mobiles to the peoles of villages because they dont afford them and also guide tham beacuse we only take maximum one or two classes of the weak when we have some money and go to the net-cafe so all the administration can must se all the students abd there issues ","No,becasue we are from villages not dont have good internet or facilties but citizen can afford it so online education is best for citzien but  people like villages not have laptop or good mobile phones or skills . ","no,online education is not a way to study only time pass."
2021/01/11 12:18:35 PM GMT+5,"zoom,lms and whatsapp groups.",18-20,Male,IT/CS,1,2,1,2,1,1,3,2,1,2,3,1,2,1,2,3,3,2,1,2,1,3,3,1,1,1,1,1,1,3,0,0,2,,1,,0.827681987,"I am nit agree with online education, physical education is a good way to study or gain knowledege but online is the wastage of time.It can be better that every instution can provide a laptop or mobiles to the peoles of villages because they dont afford them and also guide tham beacuse we only take maximum one or two classes of the weak when we have some money and go to the net-cafe so all the administration can must se all the students abd there issues ","No,becasue we are from villages not dont have good internet or facilties but citizen can afford it so online education is best for citzien but  people like villages not have laptop or good mobile phones or skills . ","no,online education is not a way to study only time pass."
2021/01/11 12:18:39 PM GMT+5,"zoom,lms and whatsapp groups.",18-20,Male,IT/CS,1,2,1,2,1,1,3,2,1,2,3,1,2,1,2,3,3,2,1,2,1,3,3,1,1,1,1,1,1,3,0,0,2,,1,,0.827681987,"I am nit agree with online education, physical education is a good way to study or gain knowledege but online is the wastage of time.It can be better that every instution can provide a laptop or mobiles to the peoles of villages because they dont afford them and also guide tham beacuse we only take maximum one or two classes of the weak when we have some money and go to the net-cafe so all the administration can must se all the students abd there issues ","No,becasue we are from villages not dont have good internet or facilties but citizen can afford it so online education is best for citzien but  people like villages not have laptop or good mobile phones or skills . ","no,online education is not a way to study only time pass."
2021/01/11 12:19:19 PM GMT+5,Cell phone,18-20,Female,Physics ,1,3,3,3,4,2,2,2,1,2,1,1,2,1,1,3,3,2,2,2,3,4,3,5,1,3,1,1,2,1,0,0,1,,2,,1.085431214,By being regular,Yes,We need to b more loyal and efficient.
2021/01/11 12:26:45 PM GMT+5,Ms teams ,21-23,Female,Bs Mathematics,5,3,5,3,3,3,2,3,3,3,3,5,3,3,3,2,3,2,3,5,4,4,5,2,2,3,4,3,3,2,0,0,3,,3,,0.971430986,They're fine ,Yes,No 
2021/01/11 12:33:09 PM GMT+5, google classroom,21-23,Female,Engineering,3,5,3,4,2,4,4,3,4,3,4,3,4,3,4,2,3,3,3,4,3,4,4,4,4,4,2,2,3,2,0,0,2,,3,,0.802295557,F2F learning is better,no,no
2021/01/11 12:36:14 PM GMT+5,Microsoft Team,23-27,Female,IT/CS,2,5,3,5,3,5,5,4,4,4,4,4,5,4,4,4,4,4,4,5,4,5,5,5,4,4,4,4,4,2,0,1,3,,4,,0.803011573,If every student get good quality of internet.,Yess,No suggestion 
2021/01/11 12:50:55 PM GMT+5,Google class room Meet Zoom,21-23,Female,BS Mathematics,2,5,5,4,4,2,2,4,4,4,1,2,2,4,4,4,4,2,2,2,2,5,5,3,1,1,1,2,2,2,0,0,2,,1,,1.348050956,By having good internet connection and good light situation and corperation betwees teachers and students,Yes( to some extent),No
2021/01/11 1:19:10 PM GMT+5,Zoom,21-23,Female,Engineering,1,5,5,4,4,4,2,1,1,1,3,1,3,2,1,2,2,3,3,3,1,2,4,2,3,3,1,1,1,1,0,0,1,,2,,1.295438505,. ,. ,. 
2021/01/11 1:23:25 PM GMT+5,Zoom,23-27,Female,Business Administration,1,5,5,4,3,4,4,3,2,2,2,2,4,2,2,4,4,4,4,4,4,4,4,2,2,4,2,2,4,2,0,0,3,,3,,1.116748153,Screen time should be minimal ,Zoom is best,Online classes should be made interactive and less boring 
2021/01/11 1:37:19 PM GMT+5,Google classroom,21-23,Male,Engineering,2,5,5,4,3,4,4,1,1,2,4,1,4,4,3,3,4,2,4,4,3,4,4,3,3,4,1,4,1,1,0,0,2,,3,,1.284746945,By more awareness,Yes,No
2021/01/11 1:58:21 PM GMT+5,Zoom,21-23,Female,Islamic studies,1,5,3,3,3,3,3,2,2,2,1,1,2,2,1,3,2,1,1,3,3,3,4,5,1,4,1,2,2,2,0,0,2,,2,,1.159171325,Muting all participants,No,Connectivity should be beter
2021/01/11 2:02:42 PM GMT+5,Laptop,21-23,Male,Engineering,3,3,5,4,3,4,1,3,2,2,3,4,4,4,3,4,5,4,5,4,4,3,4,3,4,4,2,4,2,3,0,0,3,,3,,0.971430986,Yes it could be.,Maybe.,No suggestions.
2021/01/11 2:05:55 PM GMT+5,Zoom,18-20,Female,English lit,3,3,3,4,4,4,3,3,3,4,4,4,3,4,4,3,4,3,3,4,3,3,4,3,3,4,3,3,3,4,0,0,3,,3,,0.504006933,No idea,No,No
2021/01/11 2:42:14 PM GMT+5,Teams ,23-27,Male,Engineering,1,3,3,4,2,3,3,4,3,2,4,3,4,4,5,5,4,5,3,3,4,3,5,3,2,3,4,4,3,5,1,0,4,,3,,1.008013866,I don't think so,No,Physical or hybrid clases is best
2021/01/11 2:45:08 PM GMT+5,Cell phone,21-23,Male,Engineering,3,3,2,3,4,3,4,4,4,4,4,4,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,1,1,4,,4,,0.571346464,N/!,N/a,N/a
2021/01/11 3:14:03 PM GMT+5,Laptop,23-27,Female,Clinical psychology ,3,5,5,2,2,3,4,3,2,4,4,1,2,3,1,4,3,2,4,4,3,2,4,1,3,1,1,1,1,1,0,0,1,,2,,1.29942516,I dont know,I don’t know,I don’t know 
2021/01/11 3:38:51 PM GMT+5,Google classroom,23-27,Female,IT/CS,5,5,2,4,4,4,5,4,4,4,4,3,4,4,3,4,3,4,4,4,4,4,4,4,4,1,2,4,2,2,0,0,3,,2,,0.964305479,By spreading awareness of its effiecient use,Yes,-
2021/01/11 3:49:24 PM GMT+5,Laptop,21-23,Female,MA education ,3,1,3,3,4,3,4,3,3,3,3,3,3,3,3,4,4,3,4,4,4,4,4,4,3,4,2,3,4,3,0,0,3,,3,,0.70221325,It is already on a better spot,Yes,Not really
2021/01/11 4:19:29 PM GMT+5,Zoom,23-27,Male,IT/CS,5,5,5,4,4,4,4,5,4,5,4,5,5,4,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,1,1,4,,4,,0.498272879,I don't think so.,Yes,No
2021/01/11 4:36:39 PM GMT+5,Laptop,23-27,Female,Clinical psychology ,3,5,5,2,2,3,4,3,2,4,4,1,2,3,1,4,3,2,4,4,3,2,4,1,3,1,1,1,1,1,0,0,1,,2,,1.29942516,I dont know,I don’t know,I don’t know 
2021/01/11 6:46:44 PM GMT+5,google class room,18-20,Female,Mathematical Sciences,1,5,3,3,3,4,2,3,4,4,4,3,3,3,3,3,3,3,3,3,2,4,3,3,3,4,5,3,3,3,0,1,3,,4,,0.8051558,yes,yes,i sugest that there should be a complete and detail orentation section for this purpose
2021/01/11 8:25:30 PM GMT+5,Mobile ,23-27,Female,Mathematics ,1,5,3,2,3,2,3,2,2,3,1,2,2,1,3,1,3,1,3,1,2,3,1,3,1,3,2,1,2,1,0,0,1,,2,,0.99481414,No,Neutral ,Nothing 
2021/01/11 8:44:33 PM GMT+5,Mobile/laptop,18-20,Male,Mathematics,3,2,5,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,,1,,0.850287308,E-learning process can never get better.,no,no suggestion
2021/01/11 8:49:52 PM GMT+5,Google,23-27,Female,Chemistry ,2,5,3,3,4,4,4,3,4,4,4,2,4,3,4,4,3,4,4,4,3,2,3,2,3,3,2,2,2,1,0,0,2,,3,,0.949894126,X,Yes,Google 
2021/01/11 10:23:25 PM GMT+5,Zoom,23-27,Male,Engineering,3,5,5,5,5,5,5,,,,5,5,5,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,4,,4,,0.56487903,To attend online classes,Yes ,Faculty should give us access for recording online lectures
2021/01/11 11:04:46 PM GMT+5,Laptop,21-23,Female,MA education ,3,1,3,3,4,3,4,3,3,3,3,3,3,3,3,4,4,3,4,4,4,4,4,4,3,4,2,3,4,3,0,0,3,,3,,0.70221325,It is already on a better spot,Yes,Not really
2021/01/11 11:09:38 PM GMT+5,Zoom,23-27,Female,Medical,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,4,4,5,5,5,5,1,1,5,,4,,0.257880715,The quality of video and sound ,Yes,No
2021/01/11 11:30:05 PM GMT+5,Saad Bin Saeed,21-23,Male,Engineering,5,5,5,1,2,3,3,4,4,5,5,3,5,5,5,5,5,5,5,3,3,3,3,3,3,3,4,3,1,3,0,0,2,,3,,1.2298958,"People have issues while log in to their account. There is always a issue of server, mobile data bundles are quite expensive not every person can afford it. Issue of connectivity in rural areas.",No,Spread awareness of using this tool. 
2021/01/12 12:04:22 AM GMT+5,Zoom,21-23,Female,Business Administration,1,5,3,4,4,4,3,4,4,4,4,4,4,4,4,2,4,4,3,4,3,1,4,4,3,4,1,3,1,2,0,0,2,,3,,1.118804781,I think students should trained properly.,Yes,I think training is required
2021/01/12 1:19:57 AM GMT+5,"zoom , meet",21-23,Male,IT/CS,3,5,3,4,4,4,2,4,4,4,3,3,4,4,4,3,4,3,3,4,4,4,4,3,3,4,2,4,4,3,1,0,4,,3,,0.678910554,"Zoom, E-learning is best tool but i'll prefered to the f2f study

","Zoom, Google meet , ","Zoom, but I think training is required."
2021/01/12 2:41:15 AM GMT+5,Blackboard,23-27,Female,IT/CS,3,5,3,4,4,4,2,4,4,5,4,4,4,4,4,2,4,4,3,4,3,4,4,3,4,4,4,4,3,3,0,1,3,,4,,0.70221325,To be more organized and interesting,Yes and can be improved,To be more interactive.
2021/01/12 6:11:24 AM GMT+5,Collaborate Ultra,23-27,Female,Medical,5,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4,4,4,4,5,5,4,1,1,5,,4,,0.507416263,Clearer step by step uses,Yes,No
2021/01/12 7:45:11 AM GMT+5,LMS,18-20,Female,IT/CS,5,5,2,4,3,4,2,4,4,5,5,3,5,5,4,4,4,4,5,4,4,4,5,4,4,4,4,4,4,4,1,1,4,,4,,0.784915253,Because it way to learning study during Covid_19,Yes!,I think àll better........
2021/01/12 7:45:33 AM GMT+5,LMS,18-20,Female,IT/CS,5,5,2,4,3,4,2,4,4,5,5,3,5,5,4,4,4,4,5,4,4,4,5,4,4,4,4,4,4,4,1,1,4,,4,,0.784915253,Because it way to learning study during Covid_19,Yes!,I think àll better........
2021/01/12 7:45:40 AM GMT+5,LMS,18-20,Female,IT/CS,5,5,2,4,3,4,2,4,4,5,5,3,5,5,4,4,4,4,5,4,4,4,5,4,4,4,4,4,4,4,1,1,4,,4,,0.784915253,Because it way to learning study during Covid_19,Yes!,I think àll better........
2021/01/12 8:46:17 AM GMT+5,Blackboard ,23-27,Male,Health Admin,2,3,5,5,3,5,5,3,2,2,2,2,5,5,5,4,4,4,4,3,4,4,3,3,2,4,2,4,4,3,1,0,4,,3,,1.105888107,Make it more interactive ,.,More interaction 
2021/01/12 10:53:39 AM GMT+5,Google meet,21-23,Female,IT/CS,5,5,5,5,5,5,3,3,4,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,4,3,3,3,2,3,0,0,3,,3,,0.894427191,Yes,Yes,None so far
2021/01/12 11:09:00 AM GMT+5,"google meets, Microsoft teams",21-23,Male,IT/CS,3,5,5,3,1,2,4,4,4,3,4,4,2,4,4,4,4,4,2,4,2,1,2,4,3,4,2,2,2,2,0,0,2,,3,,1.136641554,with mass people accepting it,yes. because its the only option left,no
2021/01/12 12:25:56 PM GMT+5,Meet,18-20,Male,IT/CS,1,5,3,5,2,4,4,4,1,4,4,1,4,4,3,5,5,5,5,4,4,4,4,4,4,4,1,1,1,1,0,0,1,,3,,1.473521078,Its good enough,Yes,No
2021/01/12 1:31:06 PM GMT+5,Google meet,21-23,Male,IT/CS,5,3,1,4,5,5,5,3,3,5,5,4,5,5,5,3,3,5,4,5,2,5,5,4,4,4,5,4,3,3,0,1,3,,4,,1.080655399,"Consistency. Switching in between E learning and physical classes destroys both experiences. If we stick with E learning, it would be better. ",Yes,-
2021/01/12 1:57:03 PM GMT+5,Google classroom Meet,21-23,Male,IT/CS,2,5,5,4,2,2,4,2,2,2,2,2,4,3,3,3,3,3,3,4,4,4,4,4,4,4,2,2,2,2,0,0,2,,3,,1.014832527,Recorded Lectures followed by a weekly query online session,Definitely,Interaction between faculty and students should be increased.
2021/01/12 6:33:17 PM GMT+5,Ppts,23-27,Female,Medical,1,5,5,3,2,2,1,3,2,2,2,2,2,2,2,2,2,2,1,1,2,3,3,2,2,3,1,2,2,2,0,0,2,,2,,0.96132093,It cannot replace FTF learning,No,It should not be promoted
2021/01/12 7:14:28 PM GMT+5,Cell phone,21-23,Male,Engineering,3,3,2,3,4,3,4,4,4,4,4,4,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,1,1,4,,4,,0.571346464,N/!,N/a,N/a
2021/01/12 11:30:50 PM GMT+5,Google Meet,21-23,Male,IT/CS,1,5,5,4,4,4,5,5,5,3,5,3,5,5,5,5,5,5,5,5,5,4,4,4,4,4,3,4,4,3,1,1,4,,4,,0.944433176,quick response is missing,yeah,e-examination 
2021/01/13 8:23:55 PM GMT+5,MS-Teams,23-27,Male,Engineering,5,5,5,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,1,1,4,,4,,0.479463301,Yes,Yes,No
2021/01/13 8:24:10 PM GMT+5,MS-Teams,23-27,Male,Engineering,5,5,5,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,1,1,4,,4,,0.479463301,Yes,Yes,No
2021/01/13 8:24:14 PM GMT+5,MS-Teams,23-27,Male,Engineering,5,5,5,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,1,1,4,,4,,0.479463301,Yes,Yes,No
2021/01/13 8:24:17 PM GMT+5,MS-Teams,23-27,Male,Engineering,5,5,5,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,1,1,4,,4,,0.479463301,Yes,Yes,No
2021/01/14 7:07:59 AM GMT+5,Google meet,23-27,Male,IT/CS,2,5,2,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,3,2,2,2,2,2,2,2,2,0,0,2,,2,,0.802295557,No,No,I will discourage E-learning
2021/01/14 5:55:33 PM GMT+5,Ruheel,21-23,Male,Business Administration,5,2,5,4,4,4,2,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,5,4,2,4,5,4,4,2,0,1,3,,4,,0.868344971,The study explored student readiness for online learning in the ... which may lead to more effective policies or e-learning strategies. .,There are significant positive impacts of perceived usefulness and perceived ease of use on E-learning acceptance .,"Know your subject material well.
Facilitate Contact.
The platform should be easy to navigate and fully functional. 
Online courses provided should appeal to all learning styles."
2021/01/14 11:34:45 PM GMT+5,Mobile,21-23,Female,Business Administration,5,3,5,3,2,3,3,3,3,3,3,2,5,4,5,4,5,5,5,4,4,4,4,4,4,4,3,4,5,4,1,1,4,,4,,0.912870929,Because it saves my time and I could easily learn whenever I want.,Yes of course,No 
2021/01/15 10:02:35 PM GMT+5,Google Meet,21-23,Male,IT/CS,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,2,4,5,4,5,5,1,1,5,,4,,0.691491807,It is already at its peak just more universities should get a hold of it ,Yes,no
2021/01/15 10:03:38 PM GMT+5,Google meet,21-23,Male,IT/CS,3,5,3,4,3,4,5,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,3,3,0,1,3,,4,,0.660894552, , , 
2021/01/15 10:05:37 PM GMT+5,"Google Meet, Zoom",21-23,Female,IT/CS,2,5,5,5,4,5,5,2,2,2,4,3,5,5,5,5,5,5,4,5,2,4,3,3,4,1,1,2,3,2,0,0,2,,2,,1.4044265,Not sure,No,None
2021/01/15 10:07:08 PM GMT+5,"Google classroom, zoom",21-23,Female,IT/CS,2,1,1,3,2,3,3,1,4,5,4,5,4,4,5,4,5,4,4,4,4,3,4,3,3,3,4,3,3,5,1,0,4,,3,,1.165105688,By giving idea ,Yes I thnk,It's fine 
2021/01/15 10:07:47 PM GMT+5,"Google meet, zoom, mS teams",21-23,Male,IT/CS,5,5,5,5,5,5,4,5,5,5,5,5,2,2,2,2,2,2,2,2,3,3,3,3,2,1,3,4,5,5,1,0,5,,2,,1.406471087,Good ,Good ,Good 
2021/01/15 10:08:42 PM GMT+5,Google Meet,21-23,Male,IT/CS,2,2,3,1,1,2,3,3,2,2,2,3,2,3,2,3,3,2,2,2,2,2,2,3,2,2,3,2,3,2,0,0,2,,2,,0.583292281,"Because u can control the pace at which you want to learn, you can choose your own time, u can listen to the recording if you have missed the lecture and you can review it if you didn't understand some part",No really,/-
2021/01/15 10:10:34 PM GMT+5,Google Meet,21-23,Male,IT/CS,3,5,5,5,5,4,5,4,4,4,3,3,4,4,3,2,4,4,5,5,4,4,4,3,4,4,3,4,3,3,0,1,3,,4,,0.803011573,Well not for everyone as we are living in a society where most of the students are not aware to use technology so may be not. ,Yes ,Nil
2021/01/15 10:11:41 PM GMT+5,google meet,23-27,Female,IT/CS,5,5,5,4,4,4,4,3,4,3,4,3,4,4,4,3,3,4,3,4,3,4,5,3,3,3,3,3,4,3,0,0,3,,3,,0.70221325,by promoting e learning,yes,no
